"Record_number","Study_midyear","Latitude","Longitude","Site.x","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Site.y"
2263,2003,36.13,137.42,"36.25 137.25",9.575,10.7,9.63333333333333,10.5583333333333,11.225,9.93333333333333,9.825,9.36666666666667,10.4833333333333,9.39166666666667,9.34166666666667,9.925,11.0833333333333,10.4916666666667,10.3166666666667,10.0583333333333,10.3583333333333,10.0583333333333,10.9083333333333,9.91666666666667,10.0916666666667,10.55,10.25,10.3166666666667,10.6416666666667,10.0583333333333,9.90833333333333,10.3,9.83333333333333,10.6916666666667,11.1583333333333,9.95833333333333,"36.25 137.25"
2295,2003,50.02,4.4,"50.25 4.25",8.13333333333333,7.96666666666667,9.38333333333333,10.0333333333333,9.8,8.69166666666667,9.30833333333333,8.775,10.0666666666667,9.78333333333333,7.90833333333333,9.44166666666667,9.175,9.75,9.85833333333333,9.36666666666667,9.96666666666667,9.81666666666667,9.30833333333333,9.65833333333333,10.0083333333333,10.025,9.36666666666667,9.55,8.40833333333333,10.4333333333333,9.41666666666667,8.90833333333333,10.5916666666667,10,9.75,10.1333333333333,"50.25 4.25"
2296,2003,50.02,4.4,"50.25 4.25",8.13333333333333,7.96666666666667,9.38333333333333,10.0333333333333,9.8,8.69166666666667,9.30833333333333,8.775,10.0666666666667,9.78333333333333,7.90833333333333,9.44166666666667,9.175,9.75,9.85833333333333,9.36666666666667,9.96666666666667,9.81666666666667,9.30833333333333,9.65833333333333,10.0083333333333,10.025,9.36666666666667,9.55,8.40833333333333,10.4333333333333,9.41666666666667,8.90833333333333,10.5916666666667,10,9.75,10.1333333333333,"50.25 4.25"
2297,2003,50.02,4.4,"50.25 4.25",8.13333333333333,7.96666666666667,9.38333333333333,10.0333333333333,9.8,8.69166666666667,9.30833333333333,8.775,10.0666666666667,9.78333333333333,7.90833333333333,9.44166666666667,9.175,9.75,9.85833333333333,9.36666666666667,9.96666666666667,9.81666666666667,9.30833333333333,9.65833333333333,10.0083333333333,10.025,9.36666666666667,9.55,8.40833333333333,10.4333333333333,9.41666666666667,8.90833333333333,10.5916666666667,10,9.75,10.1333333333333,"50.25 4.25"
2307,2004.5,45.59,-84.72,"45.75 -84.75",5.71666666666667,7.18333333333333,5.48333333333333,4.34166666666667,5.9,6.25,4.88333333333333,4.79166666666667,5.1,5.475,4.4,5.14166666666667,7.88333333333333,7.11666666666667,6.24166666666667,7.04166666666667,6.4,5.45,5.59166666666667,6.80833333333333,7.30833333333333,6.71666666666667,5.675,5.55833333333333,7.55833333333333,6.61666666666667,8.125,5.575,4.075,6.06666666666667,7.66666666666667,6.80833333333333,"45.75 -84.75"
2308,2004.5,45.59,-84.72,"45.75 -84.75",5.71666666666667,7.18333333333333,5.48333333333333,4.34166666666667,5.9,6.25,4.88333333333333,4.79166666666667,5.1,5.475,4.4,5.14166666666667,7.88333333333333,7.11666666666667,6.24166666666667,7.04166666666667,6.4,5.45,5.59166666666667,6.80833333333333,7.30833333333333,6.71666666666667,5.675,5.55833333333333,7.55833333333333,6.61666666666667,8.125,5.575,4.075,6.06666666666667,7.66666666666667,6.80833333333333,"45.75 -84.75"
2309,2004.5,45.59,-84.72,"45.75 -84.75",5.71666666666667,7.18333333333333,5.48333333333333,4.34166666666667,5.9,6.25,4.88333333333333,4.79166666666667,5.1,5.475,4.4,5.14166666666667,7.88333333333333,7.11666666666667,6.24166666666667,7.04166666666667,6.4,5.45,5.59166666666667,6.80833333333333,7.30833333333333,6.71666666666667,5.675,5.55833333333333,7.55833333333333,6.61666666666667,8.125,5.575,4.075,6.06666666666667,7.66666666666667,6.80833333333333,"45.75 -84.75"
2310,2004.5,45.59,-84.72,"45.75 -84.75",5.71666666666667,7.18333333333333,5.48333333333333,4.34166666666667,5.9,6.25,4.88333333333333,4.79166666666667,5.1,5.475,4.4,5.14166666666667,7.88333333333333,7.11666666666667,6.24166666666667,7.04166666666667,6.4,5.45,5.59166666666667,6.80833333333333,7.30833333333333,6.71666666666667,5.675,5.55833333333333,7.55833333333333,6.61666666666667,8.125,5.575,4.075,6.06666666666667,7.66666666666667,6.80833333333333,"45.75 -84.75"
2311,2004.5,45.59,-84.72,"45.75 -84.75",5.71666666666667,7.18333333333333,5.48333333333333,4.34166666666667,5.9,6.25,4.88333333333333,4.79166666666667,5.1,5.475,4.4,5.14166666666667,7.88333333333333,7.11666666666667,6.24166666666667,7.04166666666667,6.4,5.45,5.59166666666667,6.80833333333333,7.30833333333333,6.71666666666667,5.675,5.55833333333333,7.55833333333333,6.61666666666667,8.125,5.575,4.075,6.06666666666667,7.66666666666667,6.80833333333333,"45.75 -84.75"
2698,2001,51.31,4.52,"51.25 4.75",9.48333333333333,9.35,10.525,11.0666666666667,11.1166666666667,9.81666666666667,10.625,10,11.0666666666667,10.8166666666667,9.04166666666667,10.6416666666667,10.6583333333333,11.25,11.3583333333333,10.675,11.1916666666667,10.7833333333333,10.5416666666667,10.9083333333333,11.1916666666667,11.2583333333333,10.6916666666667,10.7583333333333,9.575,11.4666666666667,10.65,10.15,11.9333333333333,11.1916666666667,11.0083333333333,11.35,"51.25 4.75"
